Starting network training
INFO: iteration 50: 211418.40625
INFO: iteration 100: 29233.822265625
INFO: iteration 150: 14353.6435546875
INFO: iteration 200: 15838.2568359375
INFO: iteration 250: 9893.005859375
INFO: iteration 300: 6577.5751953125
INFO: iteration 350: 7035.06005859375
INFO: iteration 400: 7863.71826171875
INFO: iteration 450: 5990.27490234375
INFO: iteration 500: 11311.451171875
INFO: iteration 550: 8947.29296875
INFO: iteration 600: 6682.50927734375
INFO: iteration 650: 5912.23486328125
INFO: iteration 700: 5664.43505859375
INFO: iteration 750: 6899.77490234375
INFO: iteration 800: 10321.609375
INFO: iteration 850: 8243.76953125
INFO: iteration 900: 8075.85400390625
INFO: iteration 950: 4141.55322265625
INFO: iteration 1000: 7115.88134765625
INFO: iteration 1050: 6763.9736328125
INFO: iteration 1100: 6173.5068359375
INFO: iteration 1150: 11638.3583984375
INFO: iteration 1200: 6662.197265625
INFO: iteration 1250: 5234.0078125
INFO: iteration 1300: 5769.63671875
INFO: iteration 1350: 6644.0126953125
INFO: iteration 1400: 5093.27783203125
INFO: iteration 1450: 9385.7275390625
INFO: iteration 1500: 8163.611328125
INFO: iteration 1550: 6714.4462890625
INFO: iteration 1600: 4957.32421875
INFO: iteration 1650: 5134.89990234375
INFO: iteration 1700: 6282.39208984375
INFO: iteration 1750: 8048.2236328125
INFO: iteration 1800: 7494.8193359375
INFO: iteration 1850: 6786.375
INFO: iteration 1900: 3898.91796875
INFO: iteration 1950: 5288.72265625
INFO: iteration 2000: 5193.59521484375
INFO: iteration 2050: 6298.90234375
INFO: iteration 2100: 7862.86376953125
INFO: iteration 2150: 5658.85791015625
INFO: iteration 2200: 5181.59716796875
INFO: iteration 2250: 4811.9833984375
INFO: iteration 2300: 4880.58154296875
INFO: iteration 2350: 4495.62646484375
INFO: iteration 2400: 6936.52001953125
INFO: iteration 2450: 6496.052734375
INFO: iteration 2500: 5568.326171875
INFO: iteration 2550: 3525.4794921875
INFO: iteration 2600: 5032.03369140625
INFO: iteration 2650: 5130.49462890625
INFO: iteration 2700: 4765.4189453125
INFO: iteration 2750: 7944.0234375
INFO: iteration 2800: 5232.185546875
INFO: iteration 2850: 3895.343017578125
INFO: iteration 2900: 4585.19140625
INFO: iteration 2950: 5122.0400390625
INFO: iteration 3000: 4058.010009765625
INFO: iteration 3050: 7064.490234375
INFO: iteration 3100: 5731.55078125
INFO: iteration 3150: 4736.32080078125
INFO: iteration 3200: 4134.08251953125
INFO: iteration 3250: 4080.10693359375
INFO: iteration 3300: 4474.9853515625
INFO: iteration 3350: 6207.8681640625
INFO: iteration 3400: 4853.51904296875
INFO: iteration 3450: 4908.93798828125
INFO: iteration 3500: 3187.272705078125
INFO: iteration 3550: 4507.802734375
INFO: iteration 3600: 4172.92138671875
INFO: iteration 3650: 3966.416015625
INFO: iteration 3700: 6142.44580078125
INFO: iteration 3750: 4305.47216796875
INFO: iteration 3800: 3573.912841796875
INFO: iteration 3850: 4100.1103515625
INFO: iteration 3900: 4119.3994140625
INFO: iteration 3950: 3505.221923828125
INFO: iteration 4000: 5398.0087890625
INFO: iteration 4050: 4815.02001953125
INFO: iteration 4100: 4335.849609375
INFO: iteration 4150: 3430.2744140625
INFO: iteration 4200: 3727.451171875
INFO: iteration 4250: 4197.115234375
INFO: iteration 4300: 5108.251953125
INFO: iteration 4350: 4672.41943359375
INFO: iteration 4400: 4580.1630859375
INFO: iteration 4450: 3220.517333984375
INFO: iteration 4500: 3954.10400390625
INFO: iteration 4550: 3831.34423828125
INFO: iteration 4600: 4464.685546875
INFO: iteration 4650: 5289.78564453125
INFO: iteration 4700: 4157.6162109375
INFO: iteration 4750: 3995.0947265625
INFO: iteration 4800: 3896.075927734375
INFO: iteration 4850: 3813.58642578125
INFO: iteration 4900: 3473.167236328125
INFO: iteration 4950: 5189.85595703125
INFO: iteration 5000: 4651.19775390625
INFO: iteration 5050: 4349.62939453125
INFO: iteration 5100: 2958.8466796875
INFO: iteration 5150: 4087.29296875
INFO: iteration 5200: 3992.500244140625
INFO: iteration 5250: 3805.63330078125
INFO: iteration 5300: 5743.31982421875
INFO: iteration 5350: 4157.94384765625
INFO: iteration 5400: 3355.242431640625
INFO: iteration 5450: 3835.10302734375
INFO: iteration 5500: 4044.205322265625
INFO: iteration 5550: 3312.01123046875
INFO: iteration 5600: 5469.8525390625
INFO: iteration 5650: 4451.06982421875
INFO: iteration 5700: 3844.633544921875
INFO: iteration 5750: 3610.1025390625
INFO: iteration 5800: 3552.47119140625
INFO: iteration 5850: 3825.968505859375
INFO: iteration 5900: 5408.53759765625
INFO: iteration 5950: 4161.41455078125
INFO: iteration 6000: 4432.986328125
INFO: iteration 6050: 3031.834228515625
INFO: iteration 6100: 4167.4521484375
INFO: iteration 6150: 3842.837890625
INFO: iteration 6200: 3644.822021484375
INFO: iteration 6250: 5590.15771484375
INFO: iteration 6300: 4010.903564453125
INFO: iteration 6350: 3350.5576171875
INFO: iteration 6400: 3890.673095703125
INFO: iteration 6450: 3836.746826171875
INFO: iteration 6500: 3247.86181640625
INFO: iteration 6550: 5013.68408203125
INFO: iteration 6600: 4425.037109375
INFO: iteration 6650: 4053.3388671875
INFO: iteration 6700: 3229.3046875
INFO: iteration 6750: 3506.441650390625
INFO: iteration 6800: 3890.677734375
INFO: iteration 6850: 4672.3271484375
INFO: iteration 6900: 4146.751953125
INFO: iteration 6950: 4263.8349609375
INFO: iteration 7000: 3017.1318359375
INFO: iteration 7050: 3638.7548828125
INFO: iteration 7100: 3487.441162109375
INFO: iteration 7150: 3945.00634765625
INFO: iteration 7200: 4621.98876953125
INFO: iteration 7250: 3752.028076171875
INFO: iteration 7300: 3643.61279296875
INFO: iteration 7350: 3501.068115234375
INFO: iteration 7400: 3420.861083984375
INFO: iteration 7450: 3037.882568359375
INFO: iteration 7500: 4459.8173828125
INFO: iteration 7550: 4037.073974609375
INFO: iteration 7600: 3843.663818359375
INFO: iteration 7650: 2608.732421875
INFO: iteration 7700: 3503.317138671875
INFO: iteration 7750: 3469.950927734375
INFO: iteration 7800: 3303.739990234375
INFO: iteration 7850: 4802.18359375
INFO: iteration 7900: 3576.55810546875
INFO: iteration 7950: 2962.287841796875
INFO: iteration 8000: 3252.902099609375
INFO: iteration 8050: 3481.058837890625
INFO: iteration 8100: 2834.714599609375
INFO: iteration 8150: 4490.33203125
INFO: iteration 8200: 3715.244873046875
INFO: iteration 8250: 3322.7177734375
INFO: iteration 8300: 2968.717041015625
INFO: iteration 8350: 3029.380615234375
INFO: iteration 8400: 3220.3544921875
INFO: iteration 8450: 4320.51318359375
INFO: iteration 8500: 3497.677734375
INFO: iteration 8550: 3639.17138671875
INFO: iteration 8600: 2619.416259765625
INFO: iteration 8650: 3344.8671875
INFO: iteration 8700: 3205.8984375
INFO: iteration 8750: 3037.544921875
INFO: iteration 8800: 4331.25537109375
INFO: iteration 8850: 3308.415283203125
INFO: iteration 8900: 2863.98779296875
INFO: iteration 8950: 3162.84765625
INFO: iteration 9000: 3151.674072265625
INFO: iteration 9050: 2740.122314453125
INFO: iteration 9100: 3935.1904296875
INFO: iteration 9150: 3541.507080078125
INFO: iteration 9200: 3346.8720703125
INFO: iteration 9250: 2568.538818359375
INFO: iteration 9300: 2949.115966796875
INFO: iteration 9350: 3200.861328125
INFO: iteration 9400: 3709.75927734375
INFO: iteration 9450: 3393.447998046875
INFO: iteration 9500: 3381.5283203125
INFO: iteration 9550: 2621.2880859375
INFO: iteration 9600: 2976.587158203125
INFO: iteration 9650: 2937.6728515625
INFO: iteration 9700: 3297.419921875
INFO: iteration 9750: 3720.32568359375
INFO: iteration 9800: 3050.088623046875
INFO: iteration 9850: 3020.777099609375
INFO: iteration 9900: 2921.163818359375
INFO: iteration 9950: 2872.48095703125
INFO: iteration 10000: 2698.25244140625
INFO: iteration 10050: 3709.529541015625
INFO: iteration 10100: 3246.72705078125
INFO: iteration 10150: 3157.578857421875
INFO: iteration 10200: 2309.1103515625
INFO: iteration 10250: 2993.866943359375
INFO: iteration 10300: 2896.561767578125
INFO: iteration 10350: 2899.9794921875
INFO: iteration 10400: 3814.989990234375
INFO: iteration 10450: 2818.431396484375
INFO: iteration 10500: 2647.51513671875
INFO: iteration 10550: 2839.923583984375
INFO: iteration 10600: 2943.04296875
INFO: iteration 10650: 2508.529052734375
INFO: iteration 10700: 3727.434814453125
INFO: iteration 10750: 2897.057861328125
INFO: iteration 10800: 2792.6806640625
INFO: iteration 10850: 2574.3994140625
INFO: iteration 10900: 2709.433837890625
INFO: iteration 10950: 2675.3662109375
INFO: iteration 11000: 3657.230224609375
INFO: iteration 11050: 2783.305908203125
INFO: iteration 11100: 2895.157958984375
INFO: iteration 11150: 2311.743896484375
INFO: iteration 11200: 2947.15380859375
INFO: iteration 11250: 2673.28369140625
INFO: iteration 11300: 2609.707763671875
INFO: iteration 11350: 3416.849609375
INFO: iteration 11400: 2643.9921875
INFO: iteration 11450: 2490.31298828125
INFO: iteration 11500: 2773.85693359375
INFO: iteration 11550: 2687.039794921875
INFO: iteration 11600: 2402.948486328125
INFO: iteration 11650: 3221.93408203125
INFO: iteration 11700: 2759.43115234375
INFO: iteration 11750: 2714.43798828125
INFO: iteration 11800: 2236.961669921875
INFO: iteration 11850: 2599.918212890625
INFO: iteration 11900: 2639.736572265625
INFO: iteration 11950: 3029.402099609375
INFO: iteration 12000: 2618.808837890625
INFO: iteration 12050: 2646.207763671875
INFO: iteration 12100: 2302.3466796875
INFO: iteration 12150: 2550.195068359375
INFO: iteration 12200: 2488.434814453125
INFO: iteration 12250: 2676.038330078125
INFO: iteration 12300: 2856.739990234375
INFO: iteration 12350: 2396.869873046875
INFO: iteration 12400: 2490.681884765625
INFO: iteration 12450: 2494.50390625
INFO: iteration 12500: 2431.747314453125
INFO: iteration 12550: 2255.689697265625
INFO: iteration 12600: 2861.419189453125
INFO: iteration 12650: 2429.463623046875
INFO: iteration 12700: 2584.424072265625
INFO: iteration 12750: 1963.2410888671875
INFO: iteration 12800: 2542.416015625
INFO: iteration 12850: 2319.271728515625
INFO: iteration 12900: 2358.17236328125
INFO: iteration 12950: 2673.924560546875
INFO: iteration 13000: 2288.488525390625
INFO: iteration 13050: 2233.1630859375
INFO: iteration 13100: 2412.205810546875
INFO: iteration 13150: 2371.084716796875
INFO: iteration 13200: 2051.9462890625
INFO: iteration 13250: 2647.361328125
INFO: iteration 13300: 2205.64501953125
INFO: iteration 13350: 2322.279052734375
INFO: iteration 13400: 2141.305908203125
INFO: iteration 13450: 2267.914306640625
INFO: iteration 13500: 2082.486572265625
INFO: iteration 13550: 2618.16064453125
INFO: iteration 13600: 2077.012939453125
INFO: iteration 13650: 2312.605712890625
INFO: iteration 13700: 1975.154541015625
INFO: iteration 13750: 2369.266845703125
INFO: iteration 13800: 2085.11767578125
INFO: iteration 13850: 2043.8851318359375
INFO: iteration 13900: 2281.308349609375
INFO: iteration 13950: 2169.255859375
INFO: iteration 14000: 2074.10693359375
INFO: iteration 14050: 2284.142333984375
INFO: iteration 14100: 2101.700439453125
INFO: iteration 14150: 1915.6043701171875
INFO: iteration 14200: 2271.619140625
INFO: iteration 14250: 2068.21923828125
INFO: iteration 14300: 2217.994873046875
INFO: iteration 14350: 1830.865234375
INFO: iteration 14400: 2132.90673828125
INFO: iteration 14450: 2029.8919677734375
INFO: iteration 14500: 2174.937255859375
INFO: iteration 14550: 1934.6441650390625
INFO: iteration 14600: 2096.351318359375
INFO: iteration 14650: 1953.670654296875
INFO: iteration 14700: 2097.107666015625
INFO: iteration 14750: 1944.9443359375
INFO: iteration 14800: 2020.5867919921875
INFO: iteration 14850: 2016.4674072265625
INFO: iteration 14900: 1919.0338134765625
INFO: iteration 14950: 2036.2606201171875
INFO: iteration 15000: 2037.3668212890625
INFO: iteration 15050: 1942.893310546875
INFO: iteration 15100: 1804.4376220703125
INFO: iteration 15150: 2109.99560546875
INFO: iteration 15200: 1862.15380859375
INFO: iteration 15250: 2069.958740234375
INFO: iteration 15300: 1656.103271484375
INFO: iteration 15350: 2047.0452880859375
INFO: iteration 15400: 1845.94775390625
INFO: iteration 15450: 1881.850830078125
INFO: iteration 15500: 1954.615966796875
INFO: iteration 15550: 1841.0546875
INFO: iteration 15600: 1880.8465576171875
INFO: iteration 15650: 1981.4947509765625
INFO: iteration 15700: 1897.7467041015625
INFO: iteration 15750: 1701.9310302734375
INFO: iteration 15800: 1961.87744140625
INFO: iteration 15850: 1777.8651123046875
INFO: iteration 15900: 1913.270263671875
INFO: iteration 15950: 1766.9366455078125
INFO: iteration 16000: 1868.845458984375
INFO: iteration 16050: 1721.510009765625
INFO: iteration 16100: 2017.239501953125
INFO: iteration 16150: 1707.25390625
INFO: iteration 16200: 1834.1572265625
INFO: iteration 16250: 1693.4332275390625
INFO: iteration 16300: 1911.469482421875
INFO: iteration 16350: 1714.6212158203125
INFO: iteration 16400: 1695.000732421875
INFO: iteration 16450: 1800.05078125
INFO: iteration 16500: 1767.6806640625
INFO: iteration 16550: 1744.9453125
INFO: iteration 16600: 1888.0343017578125
INFO: iteration 16650: 1721.2265625
INFO: iteration 16700: 1622.6298828125
INFO: iteration 16750: 1847.1524658203125
INFO: iteration 16800: 1686.3804931640625
INFO: iteration 16850: 1820.3599853515625
INFO: iteration 16900: 1538.672119140625
INFO: iteration 16950: 1785.2894287109375
INFO: iteration 17000: 1694.435302734375
INFO: iteration 17050: 1769.5626220703125
INFO: iteration 17100: 1630.86376953125
INFO: iteration 17150: 1701.9869384765625
INFO: iteration 17200: 1654.535888671875
INFO: iteration 17250: 1747.5762939453125
INFO: iteration 17300: 1605.3017578125
INFO: iteration 17350: 1702.24658203125
INFO: iteration 17400: 1671.0303955078125
INFO: iteration 17450: 1576.9520263671875
INFO: iteration 17500: 1704.049072265625
INFO: iteration 17550: 1698.156005859375
INFO: iteration 17600: 1609.020751953125
INFO: iteration 17650: 1560.383544921875
INFO: iteration 17700: 1763.5714111328125
INFO: iteration 17750: 1562.06103515625
INFO: iteration 17800: 1701.6043701171875
INFO: iteration 17850: 1420.2628173828125
INFO: iteration 17900: 1700.832275390625
INFO: iteration 17950: 1550.5726318359375
INFO: iteration 18000: 1604.8912353515625
INFO: iteration 18050: 1632.273193359375
INFO: iteration 18100: 1524.203125
INFO: iteration 18150: 1610.3692626953125
INFO: iteration 18200: 1635.0718994140625
INFO: iteration 18250: 1590.9466552734375
INFO: iteration 18300: 1474.009521484375
INFO: iteration 18350: 1634.800048828125
INFO: iteration 18400: 1485.9425048828125
INFO: iteration 18450: 1621.2655029296875
INFO: iteration 18500: 1478.753662109375
INFO: iteration 18550: 1581.9737548828125
INFO: iteration 18600: 1473.0555419921875
INFO: iteration 18650: 1677.814208984375
INFO: iteration 18700: 1451.5106201171875
INFO: iteration 18750: 1509.7705078125
INFO: iteration 18800: 1465.5794677734375
INFO: iteration 18850: 1596.2437744140625
INFO: iteration 18900: 1444.6632080078125
INFO: iteration 18950: 1458.9403076171875
INFO: iteration 19000: 1492.015380859375
INFO: iteration 19050: 1480.99560546875
